Datos que encuentra el metodo de Runge Kutta(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 0.785461 	 numero de thread:2
0.000126	 0.785524 	 numero de thread:2
0.000188	 0.785587 	 numero de thread:2
0.000251	 0.785650 	 numero de thread:2
0.000314	 0.785712 	 numero de thread:2
0.000377	 0.785775 	 numero de thread:2
0.000440	 0.785838 	 numero de thread:2
0.000503	 0.785901 	 numero de thread:2
0.000565	 0.785964 	 numero de thread:2
0.000628	 0.786027 	 numero de thread:2
0.000691	 0.786090 	 numero de thread:2
0.000754	 0.786153 	 numero de thread:2
0.000817	 0.786215 	 numero de thread:2
0.000880	 0.786278 	 numero de thread:2
0.000942	 0.786341 	 numero de thread:2
0.001005	 0.786404 	 numero de thread:2
0.001068	 0.786467 	 numero de thread:2
0.001131	 0.786530 	 numero de thread:2
0.001194	 0.786593 	 numero de thread:2
0.001257	 0.786656 	 numero de thread:2
0.001319	 0.786719 	 numero de thread:2
0.001382	 0.786782 	 numero de thread:2
0.001445	 0.786845 	 numero de thread:2
0.001508	 0.786908 	 numero de thread:2
0.001571	 0.786971 	 numero de thread:2
0.001634	 0.787033 	 numero de thread:2
0.001696	 0.787096 	 numero de thread:2
0.001759	 0.787159 	 numero de thread:2
0.001822	 0.787222 	 numero de thread:2
0.001885	 0.787285 	 numero de thread:2
0.001948	 0.787348 	 numero de thread:2
0.002011	 0.787411 	 numero de thread:2
0.002073	 0.787474 	 numero de thread:2
0.002136	 0.787537 	 numero de thread:2
0.002199	 0.787600 	 numero de thread:2
0.002262	 0.787663 	 numero de thread:2
0.002325	 0.787726 	 numero de thread:2
0.002388	 0.787789 	 numero de thread:2
0.002450	 0.787852 	 numero de thread:2
0.002513	 0.787915 	 numero de thread:2
0.002576	 0.787978 	 numero de thread:2
0.002639	 0.788042 	 numero de thread:2
0.002702	 0.788105 	 numero de thread:2
0.002765	 0.788168 	 numero de thread:2
0.002827	 0.788231 	 numero de thread:2
0.002890	 0.788294 	 numero de thread:2
0.002953	 0.788357 	 numero de thread:2
0.003016	 0.788420 	 numero de thread:2
0.003079	 0.788483 	 numero de thread:2
0.003142	 0.788546 	 numero de thread:2
0.003204	 0.788609 	 numero de thread:2
0.003267	 0.788672 	 numero de thread:2
0.003330	 0.788735 	 numero de thread:2
0.003393	 0.788798 	 numero de thread:2
0.003456	 0.788861 	 numero de thread:2
0.003519	 0.788925 	 numero de thread:2
0.003581	 0.788988 	 numero de thread:2
0.003644	 0.789051 	 numero de thread:2
0.003707	 0.789114 	 numero de thread:2
0.003770	 0.789177 	 numero de thread:2
0.003833	 0.789240 	 numero de thread:2
0.003896	 0.789303 	 numero de thread:2
0.003958	 0.789367 	 numero de thread:2
0.004021	 0.789430 	 numero de thread:2
0.004084	 0.789493 	 numero de thread:2
0.004147	 0.789556 	 numero de thread:2
0.004210	 0.789619 	 numero de thread:2
0.004273	 0.789682 	 numero de thread:2
0.004335	 0.789745 	 numero de thread:2
0.004398	 0.789809 	 numero de thread:2
0.004461	 0.789872 	 numero de thread:2
0.004524	 0.789935 	 numero de thread:2
0.004587	 0.789998 	 numero de thread:2
0.004650	 0.790061 	 numero de thread:2
0.004712	 0.790125 	 numero de thread:2
0.004775	 0.790188 	 numero de thread:2
0.004838	 0.790251 	 numero de thread:2
0.004901	 0.790314 	 numero de thread:2
0.004964	 0.790377 	 numero de thread:2
0.005027	 0.790441 	 numero de thread:2
0.005089	 0.790504 	 numero de thread:2
0.005152	 0.790567 	 numero de thread:2
0.005215	 0.790630 	 numero de thread:2
0.005278	 0.790694 	 numero de thread:2
0.005341	 0.790757 	 numero de thread:2
0.005404	 0.790820 	 numero de thread:2
0.005466	 0.790883 	 numero de thread:2
0.005529	 0.790947 	 numero de thread:2
0.005592	 0.791010 	 numero de thread:2
0.005655	 0.791073 	 numero de thread:2
0.005718	 0.791137 	 numero de thread:2
0.005781	 0.791200 	 numero de thread:2
0.005843	 0.791263 	 numero de thread:2
0.005906	 0.791326 	 numero de thread:2
0.005969	 0.791390 	 numero de thread:2
0.006032	 0.791453 	 numero de thread:2
0.006095	 0.791516 	 numero de thread:2
0.006158	 0.791580 	 numero de thread:2
